block_number,elapsed_time_ms
19476987,106.187406
19476988,64.765907
19476989,31.754263
19476990,41.553290
19476991,19.718548
19476992,138.904288
19476993,34.314443
19476994,165.972140
19476995,56.506991
19476996,51.966743
19476997,91.541035
19476998,71.289920
19476999,30.410684
19477000,92.937094
19477001,108.981385
19477002,217.669234
19477003,61.644094
19477004,74.928865
19477005,21.551790
19477006,63.561401
19477007,93.065948
19477008,23.842141
19477009,269.189088
19477010,68.078044
19477011,74.064930
19477012,76.187169
19477013,149.651451
19477014,124.931774
19477015,156.521770
19477016,106.658689
19477017,139.963600
19477018,142.161747
19477019,154.935747
19477020,127.066214
19477021,88.037095
19477022,188.777141
19477023,117.296569
19477024,253.050323
19477025,27.958181
19477026,45.069295
19477027,152.546211
19477028,191.102735
19477029,175.588888
19477030,406.383805
19477031,104.932507
19477032,155.782726
19477033,121.525007
19477034,164.695859
19477035,179.665846
19477036,14.926619
19477037,185.936194
19477038,70.750143
19477039,258.217033
19477040,61.966450
19477041,112.796424
19477042,135.758034
19477043,42.550013
19477044,25.058128
19477045,51.522862
19477046,19.615419
19477047,17.856976
19477048,2.224223
19477049,66.881817
19477050,45.395844
19477051,37.128802
19477052,21.092479
19477053,32.251331
19477054,23.468790
19477055,11.207321
19477056,21.181693
19477057,79.107003
19477058,9.665939
19477059,84.786312
19477060,29.446756
19477061,38.840566
19477062,17.628812
19477063,24.714504
19477064,31.066713
19477065,73.958563
19477066,24.604873
19477067,45.812355
19477068,80.989625
19477069,32.573058
19477070,33.041901
19477071,29.769640
19477072,56.939067
19477073,24.333823
19477074,43.938344
19477075,86.741838
19477076,22.621938
19477077,61.563422
19477078,30.215435
19477079,73.683623
19477080,12.043475
19477081,62.225676
19477082,49.263791
19477083,55.335491
19477084,30.548137
19477085,158.862369
19477086,248.103746
19477087,211.738314
19477088,115.877562
19477089,204.351342
19477090,173.217269
19477091,55.591517
19477092,143.622947
19477093,96.230020
19477094,224.644166
19477095,69.276995
19477096,188.376841
19477097,65.454046
19477098,56.854864
19477099,56.436603
19477100,153.228828
19477101,43.115408
19477102,210.333495
19477103,190.899069
19477104,70.432464
19477105,824910.000000
19477106,65.356057
19477107,42.639802
19477108,27.938129
19477109,70.276650
19477110,93.810718
19477111,32.818582
19477112,62.090373
19477113,103.448996
19477114,54.958836
19477115,85.871494
19477116,187.867819
19477117,92.809083
19477118,2.706468
19477119,266.864725
19477120,61.917442
19477121,253.156321
19477122,89.010770
19477123,95.355890
19477124,28.070918
19477125,34.429075
19477126,36.362866
19477127,55.330317
19477128,48.929144
19477129,11.424214
19477130,52.128471
19477131,21.591971
19477132,85.241162
